repo,test_file,contract,change_kind,coverage_score,assertion_sensitivity,evidence
tinydb,tests/test_middlewares.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.all,ADD_REQUIRED_PARAM,0,0.4,"{""test_fn"":""test_caching_read"",""direct_calls"":[""all""],""returned_vars"":[],""return_flows_to_assert"":true,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raises_aro"
tinydb,tests/test_tinydb.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update,CHANGE_RETURN_TYPE,0,0.6,"{""test_fn"":""test_update_returns_ids"",""direct_calls"":[""update""],""returned_vars"":[],""return_flows_to_assert"":true,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_r"
tinydb,tests/test_utils.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update,CHANGE_RETURN_TYPE,0,0.1,"{""test_fn"":""test_freeze"",""direct_calls"":[""update""],""returned_vars"":[],""return_flows_to_assert"":false,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raises_aroun"
tinydb,tests/test_tables.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update,CHANGE_RETURN_TYPE,0,0.0,{}
tinydb,tests/test_operations.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update,CHANGE_RETURN_TYPE,0,0.1,"{""test_fn"":""test_delete"",""direct_calls"":[""update""],""returned_vars"":[],""return_flows_to_assert"":false,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raises_aroun"
tinydb,tests/test_queries.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update,CHANGE_RETURN_TYPE,0,0.0,{}
tinydb,tests/test_storages.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update,CHANGE_RETURN_TYPE,0,0.1,"{""test_fn"":""test_yaml"",""direct_calls"":[""update""],""returned_vars"":[],""return_flows_to_assert"":false,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raises_around_"
tinydb,tests/test_middlewares.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update,CHANGE_RETURN_TYPE,0,0.0,{}
tinydb,tests/test_tinydb.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update_multiple,ADD_REQUIRED_PARAM,0,0.4,"{""test_fn"":""test_update_multiple"",""direct_calls"":[""update_multiple""],""returned_vars"":[],""return_flows_to_assert"":false,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""p"
tinydb,tests/test_utils.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update_multiple,ADD_REQUIRED_PARAM,0,0.0,{}
tinydb,tests/test_tables.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update_multiple,ADD_REQUIRED_PARAM,0,0.0,{}
tinydb,tests/test_operations.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update_multiple,ADD_REQUIRED_PARAM,0,0.0,{}
tinydb,tests/test_queries.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update_multiple,ADD_REQUIRED_PARAM,0,0.0,{}
tinydb,tests/test_storages.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update_multiple,ADD_REQUIRED_PARAM,0,0.0,{}
tinydb,tests/test_middlewares.py,tinydb/table.py::FUNCTION_SIGNATURE::Table.update_multiple,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_utils.py,cerberus/validator.py::FUNCTION_SIGNATURE::dummy_for_rule_validation,BODY_ONLY,1,0.0,{}
cerberus,cerberus/tests/test_validation.py,cerberus/validator.py::FUNCTION_SIGNATURE::dummy_for_rule_validation,BODY_ONLY,1,0.0,{}
cerberus,cerberus/tests/test_registries.py,cerberus/validator.py::FUNCTION_SIGNATURE::dummy_for_rule_validation,BODY_ONLY,1,0.0,{}
cerberus,cerberus/tests/test_errors.py,cerberus/validator.py::FUNCTION_SIGNATURE::dummy_for_rule_validation,BODY_ONLY,1,0.0,{}
cerberus,cerberus/tests/test_schema.py,cerberus/validator.py::FUNCTION_SIGNATURE::dummy_for_rule_validation,BODY_ONLY,1,0.0,{}
cerberus,cerberus/tests/test_assorted.py,cerberus/validator.py::FUNCTION_SIGNATURE::dummy_for_rule_validation,BODY_ONLY,1,0.0,{}
cerberus,cerberus/tests/test_legacy.py,cerberus/validator.py::FUNCTION_SIGNATURE::dummy_for_rule_validation,BODY_ONLY,1,0.0,{}
cerberus,cerberus/tests/test_customization.py,cerberus/validator.py::FUNCTION_SIGNATURE::dummy_for_rule_validation,BODY_ONLY,1,0.0,{}
cerberus,cerberus/tests/test_normalization.py,cerberus/validator.py::FUNCTION_SIGNATURE::dummy_for_rule_validation,BODY_ONLY,1,0.0,{}
cerberus,cerberus/tests/test_utils.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.clear_caches,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_validation.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.clear_caches,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_registries.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.clear_caches,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_errors.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.clear_caches,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_schema.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.clear_caches,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_assorted.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.clear_caches,ADD_OPTIONAL_PARAM,0,0.1,"{""test_fn"":""test_clear_cache"",""direct_calls"":[""clear_caches""],""returned_vars"":[],""return_flows_to_assert"":false,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_r"
cerberus,cerberus/tests/test_legacy.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.clear_caches,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_customization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.clear_caches,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_normalization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.clear_caches,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_utils.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.allow_unknown,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_validation.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.allow_unknown,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_registries.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.allow_unknown,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_errors.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.allow_unknown,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_schema.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.allow_unknown,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_assorted.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.allow_unknown,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_legacy.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.allow_unknown,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_customization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.allow_unknown,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_normalization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.allow_unknown,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_utils.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.require_all,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_validation.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.require_all,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_registries.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.require_all,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_errors.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.require_all,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_schema.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.require_all,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_assorted.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.require_all,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_legacy.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.require_all,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_customization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.require_all,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_normalization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.require_all,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_utils.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.errors,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_validation.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.errors,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_registries.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.errors,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_errors.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.errors,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_schema.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.errors,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_assorted.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.errors,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_legacy.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.errors,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_customization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.errors,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_normalization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.errors,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_utils.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.ignore_none_values,BODY_ONLY,0,0.0,{}
cerberus,cerberus/tests/test_validation.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.ignore_none_values,BODY_ONLY,0,0.0,{}
cerberus,cerberus/tests/test_registries.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.ignore_none_values,BODY_ONLY,0,0.0,{}
cerberus,cerberus/tests/test_errors.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.ignore_none_values,BODY_ONLY,0,0.0,{}
cerberus,cerberus/tests/test_schema.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.ignore_none_values,BODY_ONLY,0,0.0,{}
cerberus,cerberus/tests/test_assorted.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.ignore_none_values,BODY_ONLY,0,0.0,{}
cerberus,cerberus/tests/test_legacy.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.ignore_none_values,BODY_ONLY,0,0.0,{}
cerberus,cerberus/tests/test_customization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.ignore_none_values,BODY_ONLY,0,0.0,{}
cerberus,cerberus/tests/test_normalization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.ignore_none_values,BODY_ONLY,0,0.0,{}
cerberus,cerberus/tests/test_utils.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.is_child,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_validation.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.is_child,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_registries.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.is_child,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_errors.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.is_child,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_schema.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.is_child,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_assorted.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.is_child,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_legacy.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.is_child,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_customization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.is_child,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_normalization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.is_child,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_utils.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_validation.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_registries.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_errors.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_schema.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_assorted.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_legacy.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_customization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_normalization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_unknown,ADD_OPTIONAL_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_utils.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_readonly,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_validation.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_readonly,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_registries.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_readonly,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_errors.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_readonly,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_schema.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_readonly,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_assorted.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_readonly,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_legacy.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_readonly,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_customization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_readonly,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_normalization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.purge_readonly,CHANGE_RETURN_TYPE,0,0.0,{}
cerberus,cerberus/tests/test_utils.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.root_allow_unknown,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_validation.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.root_allow_unknown,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_registries.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.root_allow_unknown,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_errors.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.root_allow_unknown,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_schema.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.root_allow_unknown,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_assorted.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.root_allow_unknown,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_legacy.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.root_allow_unknown,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_customization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.root_allow_unknown,ADD_REQUIRED_PARAM,0,0.0,{}
cerberus,cerberus/tests/test_normalization.py,cerberus/validator.py::FUNCTION_SIGNATURE::BareValidator.root_allow_unknown,ADD_REQUIRED_PARAM,0,0.0,{}
boltons,tests/test_typeutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::split,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_iterutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::split,CHANGE_RETURN_TYPE,1,0.0,{}
boltons,tests/test_funcutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::split,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_strutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::split,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_formatutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::split,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_listutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::split,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_dictutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::split,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_setutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::split,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_cacheutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::split,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_jsonutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::split,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_typeutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_iterutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip,CHANGE_RETURN_TYPE,1,0.6,"{""test_fn"":""test_lstrip"",""direct_calls"":[""lstrip""],""returned_vars"":[],""return_flows_to_assert"":true,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raises_around"
boltons,tests/test_funcutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_strutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_formatutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_listutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_dictutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_setutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_cacheutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_jsonutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip,CHANGE_RETURN_TYPE,0,0.0,{}
boltons,tests/test_typeutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip_iter,ADD_REQUIRED_PARAM,0,0.0,{}
boltons,tests/test_iterutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip_iter,ADD_REQUIRED_PARAM,1,0.0,{}
boltons,tests/test_funcutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip_iter,ADD_REQUIRED_PARAM,0,0.0,{}
boltons,tests/test_strutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip_iter,ADD_REQUIRED_PARAM,0,0.0,{}
boltons,tests/test_formatutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip_iter,ADD_REQUIRED_PARAM,0,0.0,{}
boltons,tests/test_listutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip_iter,ADD_REQUIRED_PARAM,0,0.0,{}
boltons,tests/test_dictutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip_iter,ADD_REQUIRED_PARAM,0,0.0,{}
boltons,tests/test_setutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip_iter,ADD_REQUIRED_PARAM,0,0.0,{}
boltons,tests/test_cacheutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip_iter,ADD_REQUIRED_PARAM,0,0.0,{}
boltons,tests/test_jsonutils.py,boltons/iterutils.py::FUNCTION_SIGNATURE::lstrip_iter,ADD_REQUIRED_PARAM,0,0.0,{}
toolz,toolz/tests/test_itertoolz.py,toolz/itertoolz.py::FUNCTION_SIGNATURE::groupby,CHANGE_RETURN_TYPE,1,0.6,"{""test_fn"":""test_groupby"",""direct_calls"":[""groupby""],""returned_vars"":[],""return_flows_to_assert"":true,""isinstance_assert"":false,""field_index_in_assert"":false,""field_accessed"":false,""pytest_raises_arou"
