case_id,repo,claim,symbol,kind,n_candidates,rank1,rank1_sens,hit1,hit3,n_heldout_fail_in_candidates
tzc05,toolz,dev_b_completion,interleave,ADD_REQUIRED_PARAM,2,toolz/tests/test_itertoolz.py,0.4,1,1,2
tzc05,toolz,testing_completion,interleave,ADD_REQUIRED_PARAM,3,toolz/tests/test_itertoolz.py,0.4,1,1,2
tzc07,toolz,dev_b_completion,isiterable,CHANGE_RETURN_TYPE,2,toolz/tests/test_itertoolz.py,0.6,1,1,2
tzc07,toolz,testing_completion,isiterable,CHANGE_RETURN_TYPE,3,toolz/tests/test_itertoolz.py,0.6,1,1,3
tzc08,toolz,dev_b_completion,isdistinct,ADD_OPTIONAL_PARAM,2,toolz/tests/test_itertoolz.py,0.3,0,1,1
tzc08,toolz,testing_completion,isdistinct,ADD_OPTIONAL_PARAM,3,toolz/tests/test_itertoolz.py,0.3,0,1,1
tzc09,toolz,dev_b_completion,take,CHANGE_RETURN_TYPE,2,toolz/tests/test_itertoolz.py,0.6,1,1,2
tzc09,toolz,testing_completion,take,CHANGE_RETURN_TYPE,3,toolz/tests/test_itertoolz.py,0.6,1,1,2
tzc10,toolz,dev_b_completion,tail,ADD_REQUIRED_PARAM,2,toolz/tests/test_itertoolz.py,0.4,1,1,1
tzc10,toolz,testing_completion,tail,ADD_REQUIRED_PARAM,3,toolz/tests/test_itertoolz.py,0.4,1,1,1
ppc03,pyparsing,dev_b_completion,ParseResults.items,CHANGE_RETURN_TYPE,3,tests/test_simple_unit.py,0.0,1,1,1
ppc03,pyparsing,testing_completion,ParseResults.items,CHANGE_RETURN_TYPE,1,tests/test_simple_unit.py,0.0,1,1,1
ppc04,pyparsing,dev_b_completion,ParseResults.haskeys,CHANGE_RETURN_TYPE,3,tests/test_simple_unit.py,0.0,1,1,1
ppc04,pyparsing,testing_completion,ParseResults.haskeys,CHANGE_RETURN_TYPE,1,tests/test_simple_unit.py,0.0,1,1,1
ppc05,pyparsing,dev_b_completion,ParseResults.pop,ADD_REQUIRED_PARAM,3,tests/test_simple_unit.py,0.0,1,1,3
ppc05,pyparsing,testing_completion,ParseResults.pop,ADD_REQUIRED_PARAM,2,tests/test_pep8_converter.py,0.4,1,1,2
